Station,avg_rain,std_rain,max_rain,median_rain,total_rain,total_hours,max_24h,avg_24h,p95_24h,max_72h,rainy_hours,heavy_events,extreme_events,nemr_hours,sw_hours,latitude,longitude,district,rain_freq,heavy_rate,extreme_rate,nemr_rain_share,sw_rain_share,risk_score,risk_label
Koradachery,3.1337299534402483,7.871318220046755,200.0,0.5,6057.5,1933,514.0,74.95369891360579,236.1999999999996,874.5,683,157,19,608,570,10.77361111,79.48916667,Tiruvarur,0.35333678220382825,0.08122090015519917,0.00982928091050181,0.31453698913605793,0.2948784273150543,0.29482758620689653,0
Kothuvacheri,4.33467381590706,10.93910672965954,200.0,1.5,4850.5,1119,769.5,103.00491510277033,208.0,937.0,569,122,15,636,289,11.52027778,79.63527778,Cuddalore,0.5084897229669347,0.10902591599642537,0.013404825737265416,0.5683646112600537,0.258266309204647,0.6851724137931035,2
Kottaram,3.97106824925816,12.688617697179296,200.0,1.0,2676.5,674,594.5,91.10014836795253,281.675,956.5,316,51,13,319,129,8.11972222,77.52722222,Kanyakumari,0.4688427299703264,0.07566765578635015,0.019287833827893175,0.4732937685459941,0.1913946587537092,0.5379310344827586,1
Krishnagiri Reservoir,5.09318423855165,17.744172182990766,200.0,1.0,4782.5,939,904.0,121.90095846645367,504.3499999999915,1081.5,455,93,22,346,417,12.47305556,78.195,Krishnagiri,0.4845580404685836,0.09904153354632587,0.023429179978700747,0.36847710330138445,0.4440894568690096,0.7355172413793104,2
Kulasekaram,3.767070484581498,11.042816016442124,200.0,1.0,6841.0,1816,1129.0,90.19190528634361,197.125,1416.0,799,136,37,501,905,8.35555556,77.28694444,Kanyakumari,0.43997797356828194,0.07488986784140969,0.020374449339207047,0.2758810572687225,0.4983480176211454,0.4958620689655172,1
Kulasekarapattinam,3.9910277324632952,7.3619873183382625,59.0,1.0,2446.5,613,446.5,93.11827079934747,185.0,638.5,304,62,13,494,23,8.40055556,78.05333333,Thoothukudi,0.49592169657422513,0.10114192495921696,0.021207177814029365,0.8058727569331158,0.037520391517128875,0.6941379310344827,2
Kulithalai_1,6.097842835130971,21.39770875079627,200.0,1.0,3957.5,649,1371.5,145.4291217257319,666.9000000000001,2133.0,276,67,22,342,175,10.941111,78.420556,Karur,0.4252696456086287,0.10323574730354391,0.03389830508474576,0.5269645608628659,0.2696456086286595,0.7410344827586207,2
Kundrakudi,4.83984375,8.973036589358335,68.5,1.25,3717.0,768,382.5,115.2109375,268.325,782.0,384,99,24,400,237,10.11138889,78.70472222,Sivaganga,0.5,0.12890625,0.03125,0.5208333333333334,0.30859375,0.819655172413793,2
Kurungulam,3.1434169278996866,6.992272854519624,117.5,1.0,2005.5,638,166.0,73.74529780564264,142.72499999999997,370.5,289,47,6,325,152,10.65638889,79.09805556,Thanjavur,0.45297805642633227,0.07366771159874608,0.009404388714733543,0.5094043887147336,0.23824451410658307,0.3,0
LBP Quarters Campus,6.06917885264342,19.580468875801817,200.0,1.0,10791.0,1778,1727.0,145.19572553430822,503.6749999999994,2198.0,765,191,79,826,548,11.33527778,77.7375,Erode,0.43025871766029244,0.10742407199100112,0.04443194600674916,0.4645669291338583,0.30821147356580425,0.7627586206896552,2
Lekkur,6.5586492890995265,21.37246226734641,200.0,1.5,5535.5,844,1169.5,156.83234597156397,729.8999999999996,1389.0,438,102,25,333,340,11.46611111,79.01861111,Cuddalore,0.518957345971564,0.12085308056872038,0.02962085308056872,0.39454976303317535,0.4028436018957346,0.8524137931034483,2
Lower Anicut,4.693350831146106,17.994301721763687,200.0,1.0,5364.5,1143,1988.5,111.84251968503936,157.39999999999986,2118.0,516,83,19,577,330,11.14527778,79.45,Thanjavur,0.45144356955380577,0.0726159230096238,0.016622922134733157,0.5048118985126859,0.2887139107611549,0.5234482758620689,1
Madurai_1,3.7075623491552694,8.162399008848086,94.5,1.0,4608.5,1243,470.5,88.42518101367659,218.44999999999993,593.5,583,107,26,419,386,9.940556,78.132778,Madurai,0.4690265486725664,0.08608205953338696,0.02091713596138375,0.337087691069992,0.31053901850362026,0.560344827586207,1
Madurantakam,5.6064175467099915,19.239917839128296,200.0,1.5,6901.5,1231,2396.5,133.9480097481722,196.5,2631.0,652,124,30,635,421,12.49888889,79.87527778,Chengalpattu,0.529650690495532,0.10073111291632819,0.024370430544272948,0.5158407798537774,0.3419983753046304,0.7903448275862068,2
Manalmedu_1,9.653327128897162,25.417553289579192,200.0,2.0,20745.0,2149,2542.0,231.6156351791531,885.2999999999997,5312.5,1327,380,147,508,1015,11.200556,79.601389,Nagapattinam,0.6174965100046533,0.17682643089809214,0.06840390879478828,0.2363890181479758,0.4723127035830619,0.9551724137931034,2
Mangalapuram,3.381564245810056,5.002733683352552,40.0,1.5,3026.5,895,174.5,80.75921787709497,129.14999999999998,389.5,475,74,6,399,365,11.56583333,78.37861111,Namakkal,0.5307262569832403,0.08268156424581005,0.0067039106145251395,0.44581005586592176,0.40782122905027934,0.423448275862069,1
ManjalarDam,2.76904296875,5.354000948862425,50.5,1.0,2835.5,1024,201.0,66.322265625,139.8499999999999,374.5,384,69,11,336,345,10.189722,77.632222,Theni,0.375,0.0673828125,0.0107421875,0.328125,0.3369140625,0.2393103448275862,0
Marandahalli_1,2.6277278562259307,5.676932202044849,109.0,1.0,2047.0,779,185.0,62.59242618741977,137.0,346.5,339,38,4,350,251,12.390833,77.991111,Dharmapuri,0.43517329910141206,0.04878048780487805,0.005134788189987163,0.4492939666238768,0.32220795892169446,0.16482758620689655,0
Mayanur,2.6444281524926687,5.571195036662577,52.0,0.5,1803.5,682,183.5,63.26392961876833,133.94999999999993,327.5,224,37,8,346,233,10.95583333,78.23972222,Karur,0.3284457478005865,0.054252199413489736,0.011730205278592375,0.5073313782991202,0.3416422287390029,0.21137931034482757,0
