Station,district,latitude,longitude,avg_rain,max_24h,heavy_rate,extreme_rate,rain_freq,risk_score,risk_label,risk_level
Vaniyambadi,Tirupathur,12.67805556,78.62222222,9.473377703826955,2815.0,0.12063227953410982,0.059900166389351084,0.42013311148086524,0.82,2,High
Kundrakudi,Sivaganga,10.11138889,78.70472222,4.83984375,382.5,0.12890625,0.03125,0.5,0.819655172413793,2,High
Elumalai_1,Madurai,9.863889,77.697778,4.881084840055633,347.0,0.11265646731571627,0.02364394993045897,0.5535465924895688,0.8148275862068965,2,High
Thangachimadam_1,Ramanathapuram,9.281944,79.238889,4.8292443572129535,509.5,0.10893032384690873,0.02845927379784102,0.5318940137389597,0.8051724137931033,2,High
Virudhunagar_IB,Virudhunagar,9.61194444,77.955,5.364571428571429,1244.5,0.12114285714285715,0.032,0.4754285714285714,0.8044827586206896,2,High
Panchapatti,Karur,10.8294,78.306944,6.991754122938531,1721.0,0.10944527736131934,0.031484257871064465,0.4542728635682159,0.7944827586206896,2,High
Madurantakam,Chengalpattu,12.49888889,79.87527778,5.6064175467099915,2396.5,0.10073111291632819,0.024370430544272948,0.529650690495532,0.7903448275862068,2,High
Aranthangi_1,Pudukkottai,10.16,79.004167,6.452547103977669,2981.0,0.10258199581297976,0.03558967201674808,0.47452896022330776,0.7882758620689656,2,High
Thiruppur_1,Tiruppur,11.104722,77.343889,7.316604127579738,2576.0,0.11069418386491557,0.04221388367729831,0.4165103189493433,0.7772413793103449,2,High
SGSWRDC Campus (Tharamani site),Chennai,12.98583333,80.245,4.305225653206651,390.5,0.11520190023752969,0.020190023752969122,0.5302850356294537,0.7672413793103448,2,High
Keelaeral,Thoothukudi,9.09694444,78.00666667,4.303708439897698,266.0,0.10997442455242967,0.021739130434782608,0.530690537084399,0.7662068965517241,2,High
Narikudi_1,Virudhunagar,9.583333,78.316667,5.513325608342989,1419.5,0.09733487833140209,0.02433371958285052,0.5052143684820394,0.7627586206896552,2,High
LBP Quarters Campus,Erode,11.33527778,77.7375,6.06917885264342,1727.0,0.10742407199100112,0.04443194600674916,0.43025871766029244,0.7627586206896552,2,High
Sikkal_1,Ramanathapuram,9.2475,78.638333,7.6908831908831905,1949.0,0.09259259259259259,0.042735042735042736,0.45726495726495725,0.7591379310344827,2,High
Kulithalai_1,Karur,10.941111,78.420556,6.097842835130971,1371.5,0.10323574730354391,0.03389830508474576,0.4252696456086287,0.7410344827586207,2,High
Krishnagiri Reservoir,Krishnagiri,12.47305556,78.195,5.09318423855165,904.0,0.09904153354632587,0.023429179978700747,0.4845580404685836,0.7355172413793104,2,High
Chennai Mylapore (DGPOffice),Chennai,13.04138889,80.27916667,4.5464684014869885,1457.0,0.10302708443972385,0.01858736059479554,0.5177907594264471,0.7289655172413793,2,High
Annavasal_1,Pudukkottai,10.461111,78.701111,4.179577464788732,368.0,0.11408450704225352,0.01971830985915493,0.4859154929577465,0.7210344827586206,2,High
Thammampatti_1,Salem,11.44,78.485278,5.1636113657195235,1447.5,0.09715857011915674,0.026581118240146653,0.4537121906507791,0.7141379310344828,2,High
Mudukulathur_1,Ramanathapuram,9.356389,78.518333,4.748091603053435,751.5,0.09923664122137404,0.01653944020356234,0.5165394402035624,0.7027586206896552,2,High
Budalur_1,Thanjavur,10.785833,78.980278,4.672021419009371,655.5,0.08835341365461848,0.022757697456492636,0.5073627844712182,0.7024137931034482,2,High
Peravoorani_1,Thanjavur,10.288611,79.201667,5.097388059701492,1331.5,0.09328358208955224,0.023134328358208955,0.4626865671641791,0.696551724137931,2,High
Kulasekarapattinam,Thoothukudi,8.40055556,78.05333333,3.9910277324632952,446.5,0.10114192495921696,0.021207177814029365,0.49592169657422513,0.6941379310344827,2,High
Kothuvacheri,Cuddalore,11.52027778,79.63527778,4.33467381590706,769.5,0.10902591599642537,0.013404825737265416,0.5084897229669347,0.6851724137931035,2,High
Grand Anicut,Tiruchirappalli,10.82861111,78.81805556,4.025696864111498,635.5,0.1019163763066202,0.0156794425087108,0.5252613240418118,0.6727586206896552,2,High
Pickup Anicut-Sathanur,Tiruvannamalai,12.13944444,78.89388889,4.261941448382126,695.5,0.10554699537750385,0.015408320493066256,0.4830508474576271,0.6641379310344827,2,High
Rajagiri_1,Thanjavur,10.923611,79.244167,5.559009483667018,628.5,0.0874604847207587,0.02845100105374078,0.4267650158061117,0.656551724137931,2,High
