id,latitude,longitude,district,station_name
97042f39-08aa-4249-a2dc-0b55a3e62745,10.785833,78.980278,Thanjavur,Budalur_1
97b1154e-340a-4b23-8428-7708ac2bc551,9.09694444,78.00666667,Thoothukudi,Keelaeral
99831c5a-b518-4e3b-b3e4-776711b4212e,10.95583333,78.23972222,Karur,Mayanur
9b314815-4557-4b2a-970d-69f47cb7bd6c,11.3,78.496944,Tiruchirappalli,Koppampatti_1
9b3186a2-9600-4d52-8649-4ea3e68cb568,9.68,77.23527778,Theni,Gudalore_M
9b8c2531-a1a3-47b7-981f-f0fa2b3a0b74,12.26333333,78.56333333,Krishnagiri,Pambar Reservoir
9b96fa1f-b345-4df9-826d-fcc8c2103509,12.051667,78.475,Dharmapuri,Harur_3
9d50247a-22ad-49ae-b989-56fc82880589,11.94638889,79.25027778,Kallakurichi,Tirukoilur
9df31ee5-76a7-4f85-a432-1b535df045f2,9.13361111,77.31055556,Tenkasi,Karuppanadhi Dam
9e22e77d-6c05-485b-95b2-9e3563e61d87,8.26888889,77.68472222,Tirunelveli,Radhapuram
a05e85a0-1eeb-4ccf-a58e-627e520088fe,12.58388889,78.64805556,Tirupathur,Yelagiri Hills
a0bfe549-b4a8-40cc-9a27-5636f65bc050,10.16,79.004167,Pudukkottai,Aranthangi_1
a0e191ba-ab53-4045-b4ba-8e5c45b367ad,11.52027778,79.63527778,Cuddalore,Kothuvacheri
a1b9e0b0-0b0c-4325-8c24-be1233077294,12.98583333,80.245,Chennai,SGSWRDC Campus (Tharamani site)
aa1769be-b1f6-4c66-a188-9253fd968635,12.390833,77.991111,Dharmapuri,Marandahalli_1
aaec4d16-c4a5-4c56-95a8-e167f8906965,12.16722222,79.62055556,Viluppuram,Kiladayalam
ade4bddc-5c92-400f-b63b-3a00c5773f92,11.441389,77.676111,Erode,Kalingarayan -ARG
b086797f-1296-4964-9ded-ffa753eba7d4,9.823611,77.988333,Madurai,Thirumangalam_1
b3b60df4-fafa-4c0f-b04a-6ad10eaa6939,12.54305556,79.90444444,Chengalpattu,Karunkuzhi
b5846957-3683-4026-b940-e99946613dcb,9.11,77.78222222,Thoothukudi,Kalampatti
b8b664d2-7b93-4061-9719-b4b23aa9b0a1,12.47305556,78.195,Krishnagiri,Krishnagiri Reservoir
ba5fcf14-8735-4186-9e86-8f39ccf55563,12.72722222,77.82777778,Krishnagiri,Hosur
bab4b654-7dbf-4353-a093-b1c4259840bc,10.9575,77.91083333,Karur,K Paramathi
bb3ce6ac-14c7-4659-b4fd-f988f5933a22,12.67805556,78.62222222,Tirupathur,Vaniyambadi
bc958e59-2bc5-4ca4-b8ff-5a7653e244f4,8.992778,77.858889,Thoothukudi,Kadambur_1
bcef7a90-9a8f-43dd-9f65-b0668af1fc72,8.36361111,77.3575,Kanyakumari,Perunchani Reservoir
bfdd71db-ba73-450e-af9f-df3e8283fa13,8.32388889,77.57083333,Tirunelveli,Panagudi
bff82e3d-5eb7-4be4-a7e0-7d0d2e12d871,10.82861111,78.81805556,Tiruchirappalli,Grand Anicut
c144c37b-6e72-4cfa-ab31-230b0ff760ec,11.8075,77.800278,Salem,Mettur_1
c3cc1ff1-4a11-4410-86c2-e73a4992879c,10.744444,77.103056,Coimbatore,Negamam_1
c68bdbe2-1d4a-4205-9ccc-aaee51d02f16,10.51277778,76.88305556,Coimbatore,Sethumadai
c8187add-8c9f-40a3-aa08-bb9942e4e366,9.783333,78.916667,Ramanathapuram,Thiruvadanai_1
c9a70206-150e-4a94-9673-cd21f2ed9591,10.25694444,78.81833333,Pudukkottai,Raya Raghunatha Samudiram
cbdae1f9-dc41-4702-b8f9-677f9170bc8a,10.538889,79.633056,Tiruvarur,Thiruthuraipoondi_1
cf695fec-3f75-4532-802a-8bf8e7354177,9.940556,78.132778,Madurai,Madurai_1
cfd010d9-1909-4c11-8c1c-9f4647925723,9.361944,78.818056,Ramanathapuram,Ramanadhapuram -ARG
d42c58d1-160d-43ab-a253-dc6301088fce,9.35,78.058333,Thoothukudi,Karisalkulam_1
d4e57791-6764-4e6e-87bf-e1fe773b375e,8.62861111,77.90527778,Thoothukudi,Srivaigundam
d8f300a6-2f92-4a9f-86d6-191d86cb8c5f,10.486944,77.166667,Tiruppur,ThirumoorthyNagar
d9e30f52-f8f5-42ec-bed6-17935e7bee71,11.342222,76.806111,Nilgiris,Coonoor_1
da3e3a2f-319d-4572-b32d-4a7021faec5a,12.34861111,79.38,Viluppuram,Valathi
dacb0f96-f9f0-48eb-ab7d-eef901c2d94c,12.59388889,79.38722222,Tiruvannamalai,Cheyyar Anicut
db1e95f7-9e4f-4c1e-b207-6e9fbe254c8a,13.03194444,78.86444444,Vellore,Gollapally
